tmID,year,confID,playoff,last_year_rank,last_year_o_fga,last_year_o_fta,last_year_o_3pa,last_year_o_reb,last_year_o_asts,last_year_o_pf,last_year_o_stl,last_year_o_to,last_year_o_blk,last_year_o_pts,last_year_d_fga,last_year_d_fta,last_year_d_3pa,last_year_d_reb,last_year_d_asts,last_year_d_pf,last_year_d_stl,last_year_d_to,last_year_d_blk,last_year_d_pts,last_year_won,last_year_lost,last_year_GP,last_year_homeW,last_year_homeL,last_year_awayW,last_year_awayL,last_year_confW,last_year_confL,last_year_min,last_year_post_W,last_year_post_L,avg_player_height,avg_player_weight,avg_player_age,avg_player_last_3_years_sum_awards,avg_player_all_time_sum_awards,avg_team_last_year_allPoints,avg_team_last_year_allRebounds,avg_team_last_year_allAssists,avg_team_last_year_allSteals,avg_team_last_year_allBlocks,avg_team_last_year_allFG,avg_team_last_year_allFTA,avg_team_last_year_allFT,avg_team_last_year_allTO,avg_team_last_year_allPF,avg_team_last_year_allFGA,avg_team_last_year_allTR,avg_team_last_year_allTRA,avg_team_last_year_allMinutes,num_players_joined,num_players_left,num_players_changed_team,award_points_coach,last_year_mean_wins_coach
ATL,9,EA,N,3.5,2079.8,640.9,502.7,1077.6,520.7,619.8,253.4,524.2,115.4,2418.4,2079.8,640.9,502.7,1077.6,520.7,619.8,253.4,524.2,115.4,2418.4,15.8,15.8,31.6,8.6,7.2,7.2,8.6,9.8,9.8,6389.1,1.5,1.5,72.25,173.33333333333334,24.833333333333332,3.5,3.5,198.75160256410257,69.46314102564104,38.322916666666664,20.034455128205128,7.391426282051282,70.47596153846153,52.44070512820513,39.959535256410255,39.932291666666664,55.25961538461539,166.2011217948718,17.84014423076923,49.14463141025641,510.5376602564102,14.0,9.0,23.0,0.0,1.026700788277524
ATL,10,EA,Y,7.0,2258.0,725.0,598.0,1077.0,492.0,796.0,285.0,593.0,142.0,2534.0,2254.0,918.0,502.0,1265.0,684.0,726.0,310.0,561.0,134.0,2879.0,4.0,30.0,34.0,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,1.6,1.6,72.0,173.58333333333334,25.25,3.5,3.5,193.09792626728108,77.52880184331798,35.96505376344086,17.913594470046082,8.501536098310291,62.70814132104454,63.29185867895546,49.99923195084485,44.31797235023041,54.36136712749616,169.50192012288787,17.682411674347158,55.12403993855607,526.8652073732719,8.0,13.0,21.0,1.0,0.13333333333333333
ATL,11,EA,-1,2.0,2428.0,755.0,374.0,1259.0,547.0,741.0,329.0,590.0,121.0,2861.0,2363.0,807.0,530.0,1174.0,615.0,700.0,347.0,601.0,133.0,2797.0,18.0,16.0,34.0,12.0,5.0,6.0,11.0,10.0,12.0,6950.0,1.5,2.0,71.76923076923077,162.92307692307693,27.46153846153846,0.0,0.0,241.4467455621302,98.18639053254438,54.75,29.181952662721894,16.867603550295858,90.06804733727812,67.62426035502959,48.50813609467456,46.52884615384615,56.603550295857985,203.64349112426038,12.802514792899409,41.376479289940825,638.3062130177515,0.0,0.0,0.0,0.0,1.0
CHA,1,EA,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.54545454545455,169.1818181818182,26.636363636363637,0.0,0.0,199.02727272727273,79.36262626262625,40.42323232323233,22.246464646464645,7.280808080808081,73.25151515151515,52.63737373737374,35.915151515151514,40.2969696969697,54.676767676767675,178.50505050505052,16.60909090909091,49.04747474747475,574.079797979798,13.0,8.0,21.0,0.0,0.0
CHA,2,EA,Y,8.0,1903.0,577.0,386.0,935.0,551.0,713.0,222.0,496.0,90.0,2186.0,1930.0,716.0,423.0,990.0,596.0,596.0,259.0,426.0,123.0,2429.0,8.0,24.0,32.0,5.0,11.0,3.0,13.0,5.0,16.0,6475.0,1.0,1.0,73.0,175.16666666666666,26.166666666666668,0.0,0.0,229.62524950099802,99.96307385229541,64.32684630738522,26.10379241516966,12.018463073852296,80.97105788423154,60.23652694610778,46.14171656686627,55.75798403193613,70.36626746506987,198.63822355289423,21.541417165668662,62.97305389221557,686.9595808383234,7.0,3.0,10.0,0.0,0.391304347826087
CHA,3,EA,Y,4.0,1780.0,528.0,428.0,948.0,467.0,605.0,217.0,474.0,114.0,2055.0,1846.0,562.0,369.0,911.0,443.0,579.0,257.0,447.0,124.0,2009.0,18.0,14.0,32.0,11.0,5.0,7.0,9.0,15.0,6.0,6500.0,4.0,4.0,71.33333333333333,166.66666666666666,25.133333333333333,0.0,0.0,178.99250936329588,75.50337078651685,42.77003745318352,18.783520599250938,11.64194756554307,64.01198501872659,50.77078651685393,36.005992509363296,42.05243445692884,52.10187265917603,163.18501872659175,14.962546816479401,44.76704119850187,556.3932584269663,4.0,6.0,10.0,0.0,1.2222222222222223
CHA,4,EA,Y,2.0,1790.0,663.0,527.0,955.0,496.0,647.0,241.0,408.0,105.0,2241.0,1807.0,598.0,372.0,915.0,489.0,600.0,208.0,424.0,103.0,2133.0,18.0,14.0,32.0,11.0,5.0,7.0,9.0,12.0,9.0,6450.0,1.1,2.0,72.0,170.0909090909091,24.454545454545453,0.0,0.0,180.63484848484848,79.01060606060607,39.76969696969697,19.5530303030303,12.816666666666665,66.98636363636363,50.375757575757575,36.21212121212122,42.85151515151515,54.24848484848485,161.56060606060606,10.450000000000001,29.219696969696972,516.8075757575757,4.0,4.0,8.0,0.0,1.1247610404731148
CHA,5,EA,N,2.0,1881.0,590.0,517.0,971.0,499.0,697.0,279.0,497.0,115.0,2217.0,1902.0,667.0,407.0,1007.0,491.0,606.0,264.0,469.0,104.0,2195.0,18.0,16.0,34.0,13.0,4.0,5.0,12.0,12.0,12.0,6850.0,1.4,2.0,71.41666666666667,162.5,24.083333333333332,7.0,7.0,243.5582851637765,88.86127167630059,52.39884393063584,18.98795761078998,7.992292870905588,88.39643545279382,63.52408477842004,48.9383429672447,46.23265895953757,53.48025048169557,206.60404624277456,17.827071290944122,48.76541425818883,616.0221579961463,7.0,7.0,14.0,0.0,1.0
CHA,6,EA,N,5.0,1744.0,590.0,459.0,872.0,426.0,648.0,210.0,479.0,134.0,2092.0,1932.0,587.0,349.0,996.0,516.0,595.0,243.0,437.0,114.0,2168.0,16.0,18.0,34.0,10.0,7.0,6.0,11.0,8.0,12.0,6900.0,1.5,1.5,71.15384615384616,168.0,24.692307692307693,0.0,0.0,258.03162827020697,107.72042171026942,61.64818430300664,25.305349472862165,8.283092541975792,95.06911362748927,62.84342053885201,48.532213978914484,50.70753611870363,59.354549004295194,220.87661069894574,19.36118703631394,55.10659898477157,651.6157750878563,9.0,9.0,18.0,0.0,1.1908263305322129
CHA,6,EA,N,5.0,1744.0,590.0,459.0,872.0,426.0,648.0,210.0,479.0,134.0,2092.0,1932.0,587.0,349.0,996.0,516.0,595.0,243.0,437.0,114.0,2168.0,16.0,18.0,34.0,10.0,7.0,6.0,11.0,8.0,12.0,6900.0,1.5,1.5,71.15384615384616,168.0,24.692307692307693,0.0,0.0,258.03162827020697,107.72042171026942,61.64818430300664,25.305349472862165,8.283092541975792,95.06911362748927,62.84342053885201,48.532213978914484,50.70753611870363,59.354549004295194,220.87661069894574,19.36118703631394,55.10659898477157,651.6157750878563,9.0,9.0,18.0,0.0,0.8888888888888888
