year,tmID,confID,rank,playoff,firstRound,semis,finals,o_fga,o_fta,o_3pa,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fga,d_fta,d_3pa,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL
9,ATL,EA,7,N,,,,2258,725,598,1077,492,796,285,593,142,2534,2254,918,502,1265,684,726,310,561,134,2879,4,30,34,1,16,3,14,2,18
10,ATL,EA,2,Y,L,,,2428,755,374,1259,547,741,329,590,121,2861,2363,807,530,1174,615,700,347,601,133,2797,18,16,34,12,5,6,11,10,12
1,CHA,EA,8,N,,,,1903,577,386,935,551,713,222,496,90,2186,1930,716,423,990,596,596,259,426,123,2429,8,24,32,5,11,3,13,5,16
2,CHA,EA,4,Y,W,W,L,1780,528,428,948,467,605,217,474,114,2055,1846,562,369,911,443,579,257,447,124,2009,18,14,32,11,5,7,9,15,6
3,CHA,EA,2,Y,L,,,1790,663,527,955,496,647,241,408,105,2241,1807,598,372,915,489,600,208,424,103,2133,18,14,32,11,5,7,9,12,9
4,CHA,EA,2,Y,L,,,1881,590,517,971,499,697,279,497,115,2217,1902,667,407,1007,491,606,264,469,104,2195,18,16,34,13,4,5,12,12,12
5,CHA,EA,5,N,,,,1744,590,459,872,426,648,210,479,134,2092,1932,587,349,996,516,595,243,437,114,2168,16,18,34,10,7,6,11,8,12
6,CHA,EA,6,N,,,,1913,624,301,925,493,727,284,535,113,2095,1888,713,339,1055,496,654,269,534,146,2335,6,28,34,5,12,1,16,4,16
7,CHA,EA,6,N,,,,2178,777,544,1094,527,734,315,574,155,2456,2149,791,465,1240,522,707,286,619,125,2571,11,23,34,7,10,4,13,6,14
7,CHI,EA,7,N,,,,2175,643,536,1037,509,674,277,527,125,2322,2147,736,536,1239,623,584,262,535,120,2687,5,29,34,3,14,2,15,4,16
8,CHI,EA,6,N,,,,2277,723,544,1165,597,634,262,510,112,2525,2243,642,481,1225,584,683,242,566,138,2611,14,20,34,6,11,8,9,6,14
9,CHI,EA,5,N,,,,2100,812,341,1127,548,639,269,525,149,2472,2203,655,508,1160,531,681,255,522,124,2510,12,22,34,8,9,4,13,10,10
10,CHI,EA,5,N,,,,2136,693,471,1083,532,605,249,532,138,2573,2269,613,593,1156,610,636,273,489,121,2693,16,18,34,12,5,4,13,10,12
1,CLE,EA,2,Y,W,L,,1828,570,407,934,539,647,259,538,91,2185,1761,583,368,873,540,693,305,552,95,2122,17,15,32,13,3,4,12,13,8
2,CLE,EA,1,Y,L,,,1770,505,335,959,503,532,267,444,83,2004,1745,444,417,891,434,597,225,496,127,1788,22,10,32,14,2,8,8,15,6
3,CLE,EA,7,N,,,,1820,553,374,969,480,567,221,451,83,2071,1834,521,441,918,530,613,242,428,109,2140,10,22,32,4,12,6,10,7,14
4,CLE,EA,4,Y,L,,,1975,643,425,1069,517,639,226,466,86,2229,1927,607,355,1004,510,659,223,467,135,2210,17,17,34,11,6,6,11,13,11
4,CON,EA,3,Y,W,L,,2102,646,549,1095,520,663,270,434,111,2384,2104,673,536,1178,553,669,252,476,88,2409,18,16,34,10,7,8,9,11,13
5,CON,EA,1,Y,W,W,L,2051,590,467,1045,572,610,299,462,96,2335,1996,599,384,1063,565,627,239,492,113,2304,18,16,34,10,7,8,9,14,6
6,CON,EA,1,Y,W,W,W,2025,688,373,1110,573,624,236,452,130,2474,2100,599,400,1078,495,675,258,442,79,2244,26,8,34,14,3,12,5,13,7
7,CON,EA,1,Y,W,L,,2216,675,510,1268,630,530,252,514,153,2683,2357,500,508,1153,528,646,273,486,103,2417,26,8,34,14,3,12,5,15,5
8,CON,EA,3,Y,L,,,2327,615,572,1222,619,641,272,540,156,2675,2317,626,485,1179,581,633,246,524,85,2593,18,16,34,8,9,10,7,10,10
9,CON,EA,2,Y,L,,,2286,723,669,1239,607,629,211,487,97,2690,2284,638,496,1200,554,703,252,499,104,2541,21,13,34,13,4,8,9,13,7
