year,round,series,winner_team_id,loser_team_id,winner_team_wins,loser_team_losses,winner_team_year,winner_team_league,winner_team_franchise,winner_team_conference,winner_team_division,winner_team_rank,winner_team_playoff,winner_team_seeded,winner_team_first_round,winner_team_semis,winner_team_finals,winner_team_name,winner_team_off_fg_made,winner_team_off_fg_attempted,winner_team_off_ft_made,winner_team_off_ft_attempted,winner_team_off_3pt_made,winner_team_off_3pt_attempted,winner_team_off_orebounds,winner_team_off_drebounds,winner_team_off_rebounds,winner_team_off_assists,winner_team_off_pf,winner_team_off_steals,winner_team_off_turnovers,winner_team_off_blocks,winner_team_off_points,winner_team_def_fg_made,winner_team_def_fg_attempted,winner_team_def_ft_made,winner_team_def_ft_attempted,winner_team_def_3pt_made,winner_team_def_3pt_attempted,winner_team_def_orebounds,winner_team_def_drebounds,winner_team_def_rebounds,winner_team_def_assists,winner_team_def_pf,winner_team_def_steals,winner_team_def_turnovers,winner_team_def_blocks,winner_team_def_points,winner_team_orb,winner_team_drb,winner_team_trb,winner_team_opp_orb,winner_team_opp_drb,winner_team_opp_trb,winner_team_losses,winner_team_games_played,winner_team_home_wins,winner_team_home_losses,winner_team_away_wins,winner_team_away_losses,winner_team_conf_wins,winner_team_conf_losses,winner_team_minutes,winner_team_attendance,winner_team_arena,loser_team_year,loser_team_league,loser_team_franchise,loser_team_conference,loser_team_division,loser_team_rank,loser_team_playoff,loser_team_seeded,loser_team_first_round,loser_team_semis,loser_team_finals,loser_team_name,loser_team_off_fg_made,loser_team_off_fg_attempted,loser_team_off_ft_made,loser_team_off_ft_attempted,loser_team_off_3pt_made,loser_team_off_3pt_attempted,loser_team_off_orebounds,loser_team_off_drebounds,loser_team_off_rebounds,loser_team_off_assists,loser_team_off_pf,loser_team_off_steals,loser_team_off_turnovers,loser_team_off_blocks,loser_team_off_points,loser_team_def_fg_made,loser_team_def_fg_attempted,loser_team_def_ft_made,loser_team_def_ft_attempted,loser_team_def_3pt_made,loser_team_def_3pt_attempted,loser_team_def_orebounds,loser_team_def_drebounds,loser_team_def_rebounds,loser_team_def_assists,loser_team_def_pf,loser_team_def_steals,loser_team_def_turnovers,loser_team_def_blocks,loser_team_def_points,loser_team_orb,loser_team_drb,loser_team_trb,loser_team_opp_orb,loser_team_opp_drb,loser_team_opp_trb,loser_team_wins,loser_team_games_played,loser_team_home_wins,loser_team_home_losses,loser_team_away_wins,loser_team_away_losses,loser_team_conf_wins,loser_team_conf_losses,loser_team_minutes,loser_team_attendance,loser_team_arena,winner_post_W,winner_post_L,loser_post_W,loser_post_L,winner_coach_id,winner_coach_wins,winner_coach_losses,winner_coach_stint,winner_coach_post_wins,winner_coach_post_losses,loser_coach_id,loser_coach_wins,loser_coach_losses,loser_coach_stint,loser_coach_post_wins,loser_coach_post_losses,playerID,stint,tmID,lgID,GP,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,bioID,pos,firstseason,lastseason,height,weight,college,collegeOther,birthDate,deathDate,award
5,FR,A,CLE,ORL,17,16,1,WNBA,CLE,EA,,2,Y,0,W,L,,Cleveland Rockers,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,0,0,0,0,0,0,15,32,13,3,4,12,13,8,6500,137532,Quicken Loans Arena,1,WNBA,CON,EA,,3,Y,0,L,,,Orlando Miracle,833,1911,397,546,145,424,319,606,925,473,583,255,486,130,2208,851,1964,378,495,153,450,348,669,1017,536,637,264,500,108,2233,0,0,0,0,0,0,16,32,11,5,5,11,13,8,6500,117810,Amway Arena,3,3,1,2,hugheda99w,17,15,0,3,3,peckca99wc,16,16,0,1,2,mcconsu01w,0,CLE,WNBA,32,32,705,173,9,41,50,119,15,1,69,30,140,58,25,19,97,38,0,6,6,147,39,3,11,14,25,5,1,16,5,45,14,2,2,36,9,0,mcconsu01w,G,0,0,65.0,125,Penn State,,1966-07-29,0000-00-00,Coach of the Year
1,FR,A,CLE,ORL,17,16,1,WNBA,CLE,EA,,2,Y,0,W,L,,Cleveland Rockers,809,1828,426,570,141,407,331,603,934,539,647,259,538,91,2185,774,1761,455,583,119,368,277,596,873,540,693,305,552,95,2122,0,0,0,0,0,0,15,32,13,3,4,12,13,8,6500,137532,Quicken Loans Arena,1,WNBA,CON,EA,,3,Y,0,L,,,Orlando Miracle,833,1911,397,546,145,424,319,606,925,473,583,255,486,130,2208,851,1964,378,495,153,450,348,669,1017,536,637,264,500,108,2233,0,0,0,0,0,0,16,32,11,5,5,11,13,8,6500,117810,Amway Arena,3,3,1,2,hugheda99w,17,15,0,3,3,peckca99wc,16,16,0,1,2,mcconsu01w,0,CLE,WNBA,32,32,705,173,9,41,50,119,15,1,69,30,140,58,25,19,97,38,0,6,6,147,39,3,11,14,25,5,1,16,5,45,14,2,2,36,9,0,mcconsu01w,G,0,0,65.0,125,Penn State,,1966-07-29,0000-00-00,Kim Perrot Sportsmanship Award
2,CF,E,HOU,LAS,27,4,1,WNBA,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,1,WNBA,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,32,15,1,13,3,17,4,6450,105005,Staples Center,6,0,2,2,chancva99w,27,5,0,6,0,coopemi01w,28,4,0,2,2,arcaija01w,0,HOU,WNBA,32,32,977,268,36,83,119,60,42,3,53,66,233,109,49,41,45,9,1,6,6,201,50,6,21,27,12,10,0,16,14,47,21,7,6,7,2,0,arcaija01w,G,0,0,71.0,147,none,,1969-04-11,0000-00-00,Most Improved Player
7,CF,E,HOU,LAS,27,4,1,WNBA,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,1,WNBA,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,32,15,1,13,3,17,4,6450,105005,Staples Center,6,0,2,2,chancva99w,27,5,0,6,0,coopemi01w,28,4,0,2,2,coopecy01w,0,HOU,WNBA,31,31,1085,550,17,68,85,156,39,6,99,61,392,180,168,147,121,43,0,6,6,228,136,5,10,15,22,9,1,18,11,119,45,39,35,32,11,0,coopecy01w,G,0,0,70.0,150,USC,,1963-04-14,0000-00-00,WNBA All-Decade Team
1,CF,E,HOU,LAS,27,4,1,WNBA,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,1,WNBA,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,32,15,1,13,3,17,4,6450,105005,Staples Center,6,0,2,2,chancva99w,27,5,0,6,0,coopemi01w,28,4,0,2,2,coopecy01w,0,HOU,WNBA,31,31,1085,550,17,68,85,156,39,6,99,61,392,180,168,147,121,43,0,6,6,228,136,5,10,15,22,9,1,18,11,119,45,39,35,32,11,0,coopecy01w,G,0,0,70.0,150,USC,,1963-04-14,0000-00-00,WNBA Finals Most Valuable Player
6,CF,E,HOU,LAS,27,4,1,WNBA,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,1,WNBA,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,32,15,1,13,3,17,4,6450,105005,Staples Center,6,0,2,2,chancva99w,27,5,0,6,0,coopemi01w,28,4,0,2,2,swoopsh01w,0,HOU,WNBA,31,31,1090,643,40,155,195,119,87,33,82,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,swoopsh01w,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00,All-Star Game Most Valuable Player
1,CF,E,HOU,LAS,27,4,1,WNBA,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,1,WNBA,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,32,15,1,13,3,17,4,6450,105005,Staples Center,6,0,2,2,chancva99w,27,5,0,6,0,coopemi01w,28,4,0,2,2,swoopsh01w,0,HOU,WNBA,31,31,1090,643,40,155,195,119,87,33,82,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,swoopsh01w,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00,Defensive Player of the Year
3,CF,E,HOU,LAS,27,4,1,WNBA,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,1,WNBA,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,32,15,1,13,3,17,4,6450,105005,Staples Center,6,0,2,2,chancva99w,27,5,0,6,0,coopemi01w,28,4,0,2,2,swoopsh01w,0,HOU,WNBA,31,31,1090,643,40,155,195,119,87,33,82,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,swoopsh01w,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00,Defensive Player of the Year
4,CF,E,HOU,LAS,27,4,1,WNBA,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,1,WNBA,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,32,15,1,13,3,17,4,6450,105005,Staples Center,6,0,2,2,chancva99w,27,5,0,6,0,coopemi01w,28,4,0,2,2,swoopsh01w,0,HOU,WNBA,31,31,1090,643,40,155,195,119,87,33,82,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,swoopsh01w,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00,Defensive Player of the Year
1,CF,E,HOU,LAS,27,4,1,WNBA,HOU,WE,,2,Y,0,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,0,0,0,0,0,0,5,32,14,2,13,3,17,4,6475,196077,Compaq Center,1,WNBA,LAS,WE,,1,Y,0,W,L,,Los Angeles Sparks,861,1956,545,693,150,452,308,783,1091,586,705,271,466,156,2417,776,1963,495,692,122,413,300,678,978,445,650,243,485,105,2169,0,0,0,0,0,0,28,32,15,1,13,3,17,4,6450,105005,Staples Center,6,0,2,2,chancva99w,27,5,0,6,0,coopemi01w,28,4,0,2,2,swoopsh01w,0,HOU,WNBA,31,31,1090,643,40,155,195,119,87,33,82,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,swoopsh01w,F-G,0,0,72.0,145,Texas Tech,,1971-03-25,0000-00-00,Most Valuable Player
