iter	Logloss
0	0.6905176163
1	0.6882417679
2	0.6860533714
3	0.68381567
4	0.6814762115
5	0.6793091774
6	0.6767112255
7	0.6746286869
8	0.6721540451
9	0.6696338654
10	0.6674964905
11	0.6659250259
12	0.6635710716
13	0.6614406586
14	0.6592930794
15	0.6572393417
16	0.6542629719
17	0.652693367
18	0.6498763561
19	0.6470769405
20	0.645789957
21	0.6438647747
22	0.6411865234
23	0.638847971
24	0.6365942955
25	0.6347710133
26	0.6328874588
27	0.631162262
28	0.6291224957
29	0.6273849964
30	0.6255212307
31	0.6238502502
32	0.6226815224
33	0.6210937977
34	0.6193926334
35	0.6173595428
36	0.6147283077
37	0.6126026154
38	0.6108194351
39	0.6084327698
40	0.6068992138
41	0.6050158024
42	0.603198719
43	0.6013644218
44	0.5993555069
45	0.5970358372
46	0.5950466156
47	0.592192173
48	0.5897495747
49	0.5876265049
50	0.5860446453
51	0.5842890263
52	0.5818011284
53	0.5802737236
54	0.5788236141
55	0.5777092934
56	0.5757026672
57	0.5737977505
58	0.5719117165
59	0.570929575
60	0.5697621346
61	0.5683468342
62	0.5664315224
63	0.5643997192
64	0.5622644901
65	0.5604884624
66	0.5585442543
67	0.5563108444
68	0.5540728092
69	0.5519233704
70	0.5502790451
71	0.5485355377
72	0.5468915939
73	0.5456287384
74	0.544248867
75	0.5429916382
76	0.5417029381
77	0.5400576591
78	0.5385586739
79	0.536656189
80	0.5347249508
81	0.533628273
82	0.532332325
83	0.5311803818
84	0.5297994137
85	0.5282374859
86	0.5268320084
87	0.5254766941
88	0.5238355637
89	0.5224160194
90	0.5212370872
91	0.519745636
92	0.5183011055
93	0.5165403366
94	0.5151910305
95	0.5142489433
96	0.5130317688
97	0.5112591743
98	0.5093434334
99	0.5080142975
100	0.5067560196
101	0.5050871849
102	0.5043165207
103	0.5036400318
104	0.5024822235
105	0.5014155388
106	0.5001177788
107	0.4989994049
108	0.4981842041
109	0.4968931198
110	0.4952525616
111	0.4935875893
112	0.4923425674
113	0.4913456917
114	0.4902250767
115	0.4892615318
116	0.488156271
117	0.4870933533
118	0.4857913494
119	0.4835309982
120	0.4822457314
121	0.4803425789
122	0.4793599129
123	0.4781496048
124	0.477426815
125	0.4763145924
126	0.4750314713
127	0.4733505726
128	0.4723182678
129	0.4710242271
130	0.4698097229
131	0.4686129093
132	0.4669498444
133	0.4655970573
134	0.4640634537
135	0.4631311417
136	0.4622642994
137	0.461215353
138	0.4601741314
139	0.4586027145
140	0.4571780205
141	0.4560959816
142	0.4548005581
143	0.4536150932
144	0.4521920681
145	0.4508041382
146	0.4494581223
147	0.4478788376
148	0.4464008331
149	0.4455637932
150	0.444538784
151	0.4432074547
152	0.441791296
153	0.4401010513
154	0.4390277863
155	0.4378147125
156	0.4368993759
157	0.4362307072
158	0.435246706
159	0.4343463898
160	0.4335395813
161	0.4325815201
162	0.4315429687
163	0.4303889275
164	0.4288204193
165	0.4277362347
166	0.4265900612
167	0.4252842903
168	0.4243717194
169	0.4229951859
170	0.4221031189
171	0.4208879471
172	0.4199640751
173	0.418628788
174	0.4174712181
175	0.4164129257
176	0.4153842926
177	0.4144644737
178	0.4131739616
179	0.4123873234
180	0.4115134716
181	0.4101851463
182	0.4090392113
183	0.408049345
184	0.4070809364
185	0.4060379028
186	0.4050916195
187	0.4042006493
188	0.4035478592
189	0.4027312756
190	0.401942873
191	0.4006217957
192	0.3997899771
193	0.3984396458
194	0.3979305983
195	0.3969938278
196	0.3962331295
197	0.3950878382
198	0.3941340208
199	0.3933339357
200	0.3924595118
201	0.3916589737
202	0.3906089783
203	0.3899507284
204	0.3891651154
205	0.3883772612
206	0.3877583265
207	0.3870903015
208	0.3862196445
209	0.3853594542
210	0.3843547821
211	0.3835996628
212	0.3825735807
213	0.3819828272
214	0.3807772636
215	0.3798429251
216	0.3789140701
217	0.3779707432
218	0.3772474289
219	0.3761898756
220	0.375200963
221	0.3739042997
222	0.373315239
223	0.372194767
224	0.3713907719
225	0.3704226494
226	0.3695767403
227	0.3689438343
228	0.3685561419
229	0.3680565357
230	0.3672206402
231	0.3658723831
232	0.3651785612
233	0.3643363476
234	0.363660264
235	0.3624739647
236	0.3611628532
237	0.3606019497
238	0.3597563982
239	0.3590704441
240	0.3586460114
241	0.3576779366
242	0.3567959547
243	0.3558648348
244	0.3550268173
245	0.3542994022
246	0.3534429789
247	0.352805233
248	0.3522809505
249	0.3511788368
250	0.3504087448
251	0.3495675802
252	0.3490974426
253	0.3481406212
254	0.3471696377
255	0.34631598
256	0.3453935146
257	0.3445381165
258	0.3434114456
259	0.3426658392
260	0.3416479111
261	0.3409184933
262	0.3402026653
263	0.3395180225
264	0.3386203766
265	0.3377230644
266	0.3371100903
267	0.3365035772
268	0.3358325481
269	0.3349490166
270	0.3342070341
271	0.3335361481
272	0.3327251673
273	0.3318732977
274	0.33131001
275	0.3303497791
276	0.3296165943
277	0.3288268566
278	0.3284077406
279	0.3279166698
280	0.3273244858
281	0.3268495798
282	0.3259717703
283	0.3251147747
284	0.3242856741
285	0.3234642982
286	0.322965765
287	0.3224937201
288	0.3218840122
289	0.3213654041
290	0.3204468727
291	0.3196740627
292	0.3189509392
293	0.3186486483
294	0.3182122231
295	0.3174806595
296	0.3168516397
297	0.3162933111
298	0.3154559612
299	0.3149777412
300	0.3143814564
301	0.3138082504
302	0.3135006905
303	0.3125833035
304	0.3120221853
305	0.3113932848
306	0.3108903885
307	0.3099648476
308	0.3094471455
309	0.3089716911
310	0.3085457087
311	0.3074750662
312	0.3069290876
313	0.3060761213
314	0.3054866791
315	0.3050057888
316	0.3044872284
317	0.3037499189
318	0.303152132
319	0.3025887966
320	0.3019748211
321	0.3011701107
322	0.3008184433
323	0.3003218174
324	0.2998444319
325	0.2992384911
326	0.2986822844
327	0.2981969833
328	0.2977071762
329	0.2970632315
330	0.2963878155
