iter	Passed	Remaining
0	2	2280
1	4	2150
2	6	2072
3	7	1984
4	9	1976
5	11	1938
6	13	1874
7	14	1843
8	16	1826
9	18	1814
10	19	1782
11	21	1768
12	23	1754
13	24	1746
14	26	1727
15	28	1725
16	29	1726
17	31	1720
18	33	1706
19	34	1703
20	36	1709
21	38	1706
22	40	1714
23	42	1717
24	44	1724
25	46	1726
26	47	1720
27	49	1716
28	51	1719
29	53	1714
30	54	1709
31	56	1710
32	58	1713
33	60	1710
34	62	1711
35	63	1702
36	65	1694
37	66	1684
38	68	1683
39	69	1678
40	71	1672
41	73	1666
42	74	1664
43	76	1665
44	78	1660
45	79	1654
46	81	1651
47	83	1648
48	84	1643
49	86	1638
50	87	1636
51	89	1634
52	91	1633
53	93	1629
54	94	1626
55	96	1627
56	98	1622
57	99	1618
58	101	1616
59	103	1614
60	104	1610
61	106	1606
62	108	1608
63	109	1606
64	111	1602
65	112	1597
66	114	1593
67	116	1592
68	117	1587
69	119	1582
70	120	1578
71	122	1582
72	124	1579
73	125	1574
74	127	1572
75	129	1570
76	130	1566
77	132	1562
78	133	1557
79	135	1558
80	137	1558
81	139	1558
82	141	1559
83	142	1557
84	144	1553
85	146	1552
86	147	1550
87	149	1548
88	150	1544
89	152	1544
90	154	1542
91	156	1539
92	157	1536
93	159	1532
94	160	1530
95	162	1528
96	163	1525
97	165	1522
98	167	1520
99	168	1518
100	170	1515
101	171	1512
102	173	1508
103	175	1507
104	176	1505
105	178	1502
106	179	1498
107	181	1498
108	183	1498
109	184	1496
110	186	1493
111	188	1491
112	189	1489
113	191	1486
114	192	1483
115	194	1481
116	196	1480
117	197	1478
118	199	1475
119	200	1472
120	202	1470
121	203	1467
122	205	1464
123	206	1462
124	209	1463
125	210	1460
126	212	1458
127	213	1454
128	215	1453
129	216	1451
130	218	1449
131	219	1446
132	221	1444
133	223	1442
134	225	1441
135	226	1438
136	228	1437
137	229	1436
138	231	1433
139	232	1430
140	234	1428
141	236	1427
142	237	1424
143	239	1422
144	241	1421
145	242	1420
146	244	1417
147	245	1414
148	247	1412
149	249	1411
150	250	1408
151	252	1405
152	253	1403
153	255	1403
154	257	1401
155	258	1398
156	260	1396
157	261	1395
158	263	1393
159	265	1391
160	266	1388
161	268	1387
162	270	1386
163	271	1384
164	273	1381
165	274	1381
166	276	1379
167	277	1376
168	279	1374
169	281	1372
170	282	1371
171	284	1369
172	286	1367
173	287	1366
174	289	1364
175	290	1362
176	292	1359
177	294	1358
178	295	1356
179	297	1354
180	298	1352
181	300	1350
182	302	1350
183	303	1348
184	305	1345
185	307	1343
186	308	1342
187	310	1340
188	312	1338
189	313	1336
190	315	1337
191	317	1335
192	319	1333
193	320	1331
194	322	1330
195	323	1328
196	325	1325
197	326	1323
198	328	1322
199	330	1321
200	332	1321
201	334	1319
202	335	1318
203	337	1316
204	339	1315
205	340	1314
206	342	1312
207	344	1310
208	345	1308
209	347	1306
210	349	1305
211	350	1303
212	352	1301
213	353	1298
214	355	1297
215	356	1295
216	358	1292
217	359	1290
218	361	1289
219	363	1288
220	364	1285
221	366	1283
222	367	1281
223	369	1279
224	370	1277
225	372	1275
226	373	1273
227	375	1271
228	377	1270
229	378	1268
230	380	1265
231	382	1264
232	383	1262
233	385	1260
234	386	1258
235	388	1256
236	389	1254
237	391	1252
238	392	1250
239	394	1249
240	396	1247
241	397	1245
242	399	1243
243	400	1242
244	402	1240
245	404	1238
246	405	1236
247	406	1234
248	408	1232
249	410	1230
250	411	1228
251	413	1226
252	414	1224
253	416	1223
254	418	1221
255	419	1219
256	421	1217
257	422	1216
258	424	1214
259	425	1212
260	427	1210
261	429	1208
262	430	1206
